NAME,ETHNICITY,SEX,LOC,ETHNICITY_RECAT,ETHNICITY_RECAT_V2,ETHNICITY_RECAT_V3,ETHNICITY_RECAT_V4
Herbert S Beek,ab,Female,"C, Northumberland (west/ouest), Ontario, Canada",ab,,,
Patrick Fitzpatric,others,Female,"A, Montréal (city/cité), Quebec, Canada",others,others,others,others
Mina L Farrel,fr,Male,"D, Grey (north/nord), Ontario, Canada",fr,fr,fr,fr
Charles Austin,ja,Female,"F, Montcalm, Quebec, Canada",ja,ja,ja,ja
Ernest A Connery,others,Female,"E, Simcoe (north/nord), Ontario, Canada",others,others,others,others
George Wyse,ja,Male,"F, Sherbrooke, Quebec, Canada",ja,ja,ja,ja
Leon Pelletier,ch,Male,"F, Waterloo (north/nord), Ontario, Canada",ch,ch,ch,ch
Marie Morris,ja,Female,"I, York (west/ouest), Ontario, Canada",ja,ja,ja,ja
Victoire Lochance,ch,Female,"R, Alberta, The Territories, Canada",ch,ch,ch,ch
Blossom Rafuse,it,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",it,it,it,it
Jas Arthur Laurent,ir,Male,"D, Halifax (city/cité), Nova Scotia, Canada",ir,ir,ir,ir
John A Peterson,en,Male,"E, Antigonish, Nova Scotia, Canada",en,en,en,en
Ontennak Rossenagh,ch,Female,"L, Temiscouata, Quebec, Canada",ch,ch,ch,ch
Jessie Mills,fr,Male,"D, Ottawa (city/cité), Ontario, Canada",fr,fr,fr,fr
James Murphy,others,Male,"H, Victoria, Nova Scotia, Canada",others,others,others,others
Ah Poy,others,Male,"C, Leeds (south/sud), Ontario, Canada",others,others,others,others
Emma Malette,it,Male,"F, Grey (north/nord), Ontario, Canada",it,it,it,it
Margaret Duncan,fr,Female,"C, Glengarry, Ontario, Canada",fr,fr,fr,fr
Quesnel,it,Male,"Z, Kings, Nova Scotia, Canada",it,it,it,it
William H Green,it,Female,"Y, Gaspé, Quebec, Canada",it,it,it,it
Nicholas Reid,ja,Female,"M, Queen's (east/est), Prince Edward Island, Canada",ja,ja,ja,ja
Mirtle Clark,en,Female,"E, Russell, Ontario, Canada",en,en,en,en
Annie Barron,ab,Female,"D, Westmorland, New Brunswick, Canada",ab,inuit,inuit,inuit
Iva Lespvenas,ab,Female,"U, Lunenburg, Nova Scotia, Canada",ab,inuit,inuit,inuit
Minnie C Thompson,sc,Male,"A, Montréal (city/cité), Quebec, Canada",sc,sc,sc,sc
Origêne Ranger,it,Male,"D, Wellington (centre), Ontario, Canada",it,it,it,it
Anathol Boulay,en,Male,"V1, Muskoka & Parry Sound, Ontario, Canada",en,en,en,en
James Terney,others,Female,"T, Annapolis, Nova Scotia, Canada",others,others,others,others
Charles Ygger,rus,Female,"M, Missisquoi, Quebec, Canada",rus,rus,rus,rus
Catherine Thompson,ja,Male,"O, Laval, Quebec, Canada",ja,ja,ja,ja
Jon Liskey,sc,Female,"E, Restigouche, New Brunswick, Canada",sc,sc,sc,sc
Ethel Mcmanus,rus,Male,"D, Burrard, British Columbia, Canada",rus,rus,rus,rus
Alfred Tucker,fr,Male,"J, L'assomption, Quebec, Canada",fr,fr,fr,fr
Diana Belanger,others,Male,"I, Portneuf, Quebec, Canada",others,others,others,others
Dena Tremblay,en,Female,"B, Kent, Ontario, Canada",en,en,en,en
Duncan Mcinnis,ab,Female,"L, Montmorency, Quebec, Canada",ab,,,
Edmund Sheehan,en,Female,"N, Portneuf, Quebec, Canada",en,en,en,en
Clifford Flemming,rus,Female,"K1, Nipissing, Ontario, Canada",rus,rus,rus,rus
Isabella Wilson,others,Male,"E, Kings, New Brunswick, Canada",others,others,others,others
Fredrick Anderson,ja,Male,"N2, Algoma, Ontario, Canada",ja,ja,ja,ja
Azilda Leveque,sc,Male,"F, Lambton (west/ouest), Ontario, Canada",sc,sc,sc,sc
Wilford Halford,ch,Female,"J, Soulanges, Quebec, Canada",ch,ch,ch,ch
Eugène Demers,ch,Female,"G, Welland, Ontario, Canada",ch,ch,ch,ch
Gordon W. Held,ja,Male,"X1, Nipissing, Ontario, Canada",ja,ja,ja,ja
Walker Hyland,ab,Male,"F, Maisonneuve, Quebec, Canada",ab,inuit,inuit,inuit
Fred Stahlbaum,ja,Female,"D, Wellington (south/sud), Ontario, Canada",ja,ja,ja,ja
Glorise Gallant,ja,Female,"E, Nicolet, Quebec, Canada",ja,ja,ja,ja
Philias Gareau,en,Female,"H, York (west/ouest), Ontario, Canada",en,en,en,en
Radolphe Gauthier,ch,Female,"E, Terrebonne, Quebec, Canada",ch,ch,ch,ch
Ruby Cummins,ir,Female,"F, Lanark (south/sud), Ontario, Canada",ir,ir,ir,ir
J Baptiste Jubinville,en,Female,"K, York, New Brunswick, Canada",en,en,en,en
Alfred Galloway,rus,Male,"B, Peel, Ontario, Canada",rus,rus,rus,rus
Mary J Gaudin,ir,Male,"Q, Wright, Quebec, Canada",ir,ir,ir,ir
Mary I Dunn,others,Male,"K1, Drummond & Arthabaska, Quebec, Canada",others,others,others,others
Henry Q Keough,it,Female,"F, Waterloo (south/sud), Ontario, Canada",it,it,it,it
Earnest H. Deacon,ir,Male,"C, Dundas, Ontario, Canada",ir,ir,ir,ir
Felonise Boivin,it,Female,"K, Macdonald, Manitoba, Canada",it,it,it,it
Cecil Flood,en,Female,"D, Grey (north/nord), Ontario, Canada",en,en,en,en
Goldie Dinor,rus,Female,"B, Queen's (east/est), Prince Edward Island, Canada",rus,rus,rus,rus
Amanda Bourbeau,fr,Male,"F, Middlesex (west/ouest), Ontario, Canada",fr,fr,fr,fr
Robert S Stewart,sc,Male,"L, Champlain, Quebec, Canada",sc,sc,sc,sc
Osia Laberge,rus,Male,"B, Brockville (town/ville), Ontario, Canada",rus,rus,rus,rus
David Turner,ab,Male,"D, Toronto (west/ouest) (city/cité), Ontario, Canada",ab,metis,metis,metis
Autonis Plamondon,ja,Male,"D, London (city/cité), Ontario, Canada",ja,ja,ja,ja
Lionel J Tranter,ja,Female,"A, Saint John (city/cité), New Brunswick, Canada",ja,ja,ja,ja
Florence Wilson,ch,Male,"F, Chambly & Verchères, Quebec, Canada",ch,ch,ch,ch
Anna Macpherson,it,Male,"D, Oxford (south/sud), Ontario, Canada",it,it,it,it
Josiah M Greeno,ja,Male,"C, Wellington (centre), Ontario, Canada",ja,ja,ja,ja
John Dear,ch,Unknown,"E, Wentworth (south/sud), Ontario, Canada",ch,ch,ch,ch
Joseph Moore,others,Female,"L, Bruce (north/nord), Ontario, Canada",others,others,others,others
Joseph Roy,en,Female,"K, Huntingdon, Quebec, Canada",en,en,en,en
Jessie Watt,ab,Male,"E, Vancouver, British Columbia, Canada",ab,inuit,inuit,inuit
Balentina Rachel,others,Male,"D, Northumberland, New Brunswick, Canada",others,others,others,others
Elizabeth Monk,it,Male,"F, Nicolet, Quebec, Canada",it,it,it,it
Wm John Holmes,fr,Male,"L, Nicolet, Quebec, Canada",fr,fr,fr,fr
Amos,rus,Female,"B, Halifax (city/cité), Nova Scotia, Canada",rus,rus,rus,rus
Ida Maleolin,ch,Male,"H, Labelle, Quebec, Canada",ch,ch,ch,ch
Anna M Delyea,ja,Female,"A, York (east/est), Ontario, Canada",ja,ja,ja,ja
Félix Dercy,ir,Female,"C, Québec (city/cité) (centre), Quebec, Canada",ir,ir,ir,ir
Keneth Conrad,it,Female,"C, Sherbrooke, Quebec, Canada",it,it,it,it
Hugh Munroe,en,Female,"G, Laval, Quebec, Canada",en,en,en,en
Philomene Minville,sc,Female,"I, Lambton (east/est), Ontario, Canada",sc,sc,sc,sc
Walter Synnett,others,Male,"F, Grey (east/est), Ontario, Canada",others,others,others,others
Maggie Mcgahey,ch,Female,"H, York (west/ouest), Ontario, Canada",ch,ch,ch,ch
Minnie Mongghan,ab,Male,"B, Toronto (east/est) (city/cité), Ontario, Canada",ab,fn,fn,fn
James Mckien,rus,Female,"A, Gaspé, Quebec, Canada",rus,rus,rus,rus
Victor Blanchet,ja,Female,"T, Inverness, Nova Scotia, Canada",ja,ja,ja,ja
Leonard C Robichaud,fr,Female,"A, Hochelaga, Quebec, Canada",fr,fr,fr,fr
Locus,rus,Female,"A, Hochelaga, Quebec, Canada",rus,rus,rus,rus
Shesheep,it,Male,"G, Elgin (west/ouest), Ontario, Canada",it,it,it,it
Michel Simard,sc,Male,"H, Nipissing, Ontario, Canada",sc,sc,sc,sc
Mary E Steele,en,Female,"E, Northumberland, New Brunswick, Canada",en,en,en,en
Alexander White,ab,Female,"H, Antigonish, Nova Scotia, Canada",ab,fn,fn,fn
Aubrey H Whitman,ir,Male,"N, York, New Brunswick, Canada",ir,ir,ir,ir
Bridget Connars,fr,Female,"A, London (city/cité), Ontario, Canada",fr,fr,fr,fr
Geogia Langevin,rus,Female,"M, Lunenburg, Nova Scotia, Canada",rus,rus,rus,rus
Mary J Gibson,fr,Male,"E, Winnipeg (city/cité), Manitoba, Canada",fr,fr,fr,fr
Freb Clark,others,Male,"I, Renfrew (north/nord), Ontario, Canada",others,others,others,others
Rose Hda Guay,ab,Female,"A, L'assomption, Quebec, Canada",ab,,,
Theotime Landry,en,Female,"E, Lambton (east/est), Ontario, Canada",en,en,en,en
Adda B Lott,rus,Male,"J, Carleton, New Brunswick, Canada",rus,rus,rus,rus
Agusta Trueman,fr,Male,"A, Northumberland (east/est), Ontario, Canada",fr,fr,fr,fr
Joseph Godin,others,Male,"Q, Charlotte, New Brunswick, Canada",others,others,others,others
Christina J Happer,sc,Female,"D, Hochelaga, Quebec, Canada",sc,sc,sc,sc
Mary E Clamber,ab,Female,"Z, Cape Breton, Nova Scotia, Canada",ab,fn,fn,fn
Victorine Boucher,ab,Male,"L3, Assiniboia (east/est), The Territories, Canada",ab,,,
Adelma Frechette,it,Male,"J, Yale & Cariboo, British Columbia, Canada",it,it,it,it
Aimable Ouellet,sc,Female,"G, Leeds (south/sud), Ontario, Canada",sc,sc,sc,sc
Robt L Steed,it,Male,"S, Cumberland, Nova Scotia, Canada",it,it,it,it
Francis Snitchler,others,Female,"H, Essex (south/sud), Ontario, Canada",others,others,others,others
Daniel Peltier,others,Male,"B, Montréal (city/cité), Quebec, Canada",others,others,others,others
Feafiela Larivere,ch,Male,"L, Joliette, Quebec, Canada",ch,ch,ch,ch
Margret J. Mitchel,ir,Male,"C, Hochelaga, Quebec, Canada",ir,ir,ir,ir
Annie Brulè,ab,Male,"F, Waterloo (north/nord), Ontario, Canada",ab,,,
Florence R Snider,en,Male,"B, Compton, Quebec, Canada",en,en,en,en
Thomas Vansicklin,it,Female,"V, Halifax (county/comté), Nova Scotia, Canada",it,it,it,it
Collins White,others,Female,"D, Frontenac, Ontario, Canada",others,others,others,others
Edney E Foley,ab,Female,"C, Hastings (west/ouest), Ontario, Canada",ab,inuit,inuit,inuit
Cora Isenor,others,Male,"C, Toronto (east/est) (city/cité), Ontario, Canada",others,others,others,others
Henri Doneté,ab,Male,"G, Maisonneuve, Quebec, Canada",ab,inuit,inuit,inuit
Wm A Mcnally,ja,Female,"D, Victoria, British Columbia, Canada",ja,ja,ja,ja
Margratt R. Brocklebank,ja,Male,"G, Trois-rivières & Saint-maurice, Quebec, Canada",ja,ja,ja,ja
Isaac Gwinn,ja,Female,"J(1), Pictou, Nova Scotia, Canada",ja,ja,ja,ja
Walter Joynèr,it,Male,"E, Russell, Ontario, Canada",it,it,it,it
Janet Rodd,ja,Male,"L, Deux-montagnes, Quebec, Canada",ja,ja,ja,ja
Marie L Raboin,it,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",it,it,it,it
Fufflé Dugré,ab,Female,"H, Bagot, Quebec, Canada",ab,,,
Eulaliè Handfield,en,Female,"H, Beauharnois, Quebec, Canada",en,en,en,en
Catherine George,ch,Female,"A, Montréal (city/cité), Quebec, Canada",ch,ch,ch,ch
Marie A Vermette,ch,Male,"D, Huron (west/ouest), Ontario, Canada",ch,ch,ch,ch
Maurice J Cook,it,Female,"D, Huntingdon, Quebec, Canada",it,it,it,it
Jessie Naomi Ayen,ir,Male,"X, Cumberland, Nova Scotia, Canada",ir,ir,ir,ir
Mary A Tetlock,others,Male,"L, Prince (west/ouest), Prince Edward Island, Canada",others,others,others,others
Mary Ditman,others,Female,"A, Toronto (west/ouest) (city/cité), Ontario, Canada",others,others,others,others
Jane Walters,en,Male,"B, Perth (north/nord), Ontario, Canada",en,en,en,en
Luella Cole,en,Female,"B, Perth (north/nord), Ontario, Canada",en,en,en,en
Judson Roach,it,Male,"D, Burrard, British Columbia, Canada",it,it,it,it
Matilda Smidke,ch,Male,"N, Ontario (north/nord), Ontario, Canada",ch,ch,ch,ch
Adelbert Loulin,en,Female,"E, Saint John (city/cité), New Brunswick, Canada",en,en,en,en
L Hazel Pellow,rus,Female,"G1, Rimouski, Quebec, Canada",rus,rus,rus,rus
Havid E Turrill,rus,Male,"C, Waterloo (south/sud), Ontario, Canada",rus,rus,rus,rus
George Glass,ch,Male,"P, Beauce, Quebec, Canada",ch,ch,ch,ch
Fredrick Burnley,ja,Female,"G, Ottawa (city/cité), Ontario, Canada",ja,ja,ja,ja
Charles B Guillemont,en,Male,"B, Toronto (west/ouest) (city/cité), Ontario, Canada",en,en,en,en
William Smith,others,Male,"H, Huntingdon, Quebec, Canada",others,others,others,others
Jerald Quinlin,en,Female,"A, Queen's (west/ouest), Prince Edward Island, Canada",en,en,en,en
Mildred Walker,ir,Female,"D(1), Cumberland, Nova Scotia, Canada",ir,ir,ir,ir
Earl S Greenlaw,rus,Male,"H, Gaspé, Quebec, Canada",rus,rus,rus,rus
Almanzar Pimparé,ch,Female,"A, Ottawa (city/cité), Ontario, Canada",ch,ch,ch,ch
Louis Rheaume,it,Male,"C, Middlesex (east/est), Ontario, Canada",it,it,it,it
Annie Macfarlane,rus,Female,"F, Dundas, Ontario, Canada",rus,rus,rus,rus
Marie B Bilodeau,it,Female,"B, Hamilton (city/cité), Ontario, Canada",it,it,it,it
Edward Schooley,rus,Male,"I, Missisquoi, Quebec, Canada",rus,rus,rus,rus
Welington Rush,fr,Female,"H, Northumberland (east/est), Ontario, Canada",fr,fr,fr,fr
Marie Chrétien,it,Male,"J, Chambly & Verchères, Quebec, Canada",it,it,it,it
Victoria Cribbis,fr,Female,"D, Peel, Ontario, Canada",fr,fr,fr,fr
Mary I Peters,ab,Female,"I, Leeds (south/sud), Ontario, Canada",ab,metis,metis,metis
Willie E Arsenault,en,Female,"I, Lambton (east/est), Ontario, Canada",en,en,en,en
Mary Pocius,it,Female,"T, Nipissing, Ontario, Canada",it,it,it,it
Sarah S White,sc,Female,"D, Brome, Quebec, Canada",sc,sc,sc,sc
Alvine Noél,sc,Male,"D, Vancouver, British Columbia, Canada",sc,sc,sc,sc
Lillie Clayton,it,Male,"Q, Beauce, Quebec, Canada",it,it,it,it
Ovilla Galarneau,ab,Male,"K, L'assomption, Quebec, Canada",ab,inuit,inuit,inuit
Marie B Marcille,ab,Female,"O, Wright, Quebec, Canada",ab,,,
Daisy Richer,ja,Male,"D, Brant (south/sud), Ontario, Canada",ja,ja,ja,ja
John W Hayhurst,ch,Female,"C, Hamilton (city/cité), Ontario, Canada",ch,ch,ch,ch
Elizabeth Déegan,en,Female,"U, Peterborough (east/est), Ontario, Canada",en,en,en,en
Larrana Coulombe,ch,Male,"M, Beauce, Quebec, Canada",ch,ch,ch,ch
Albert Lawrence,ir,Female,"D, Middlesex (south/sud), Ontario, Canada",ir,ir,ir,ir
Agnes Smith,it,Male,"L, Nicolet, Quebec, Canada",it,it,it,it
Wesley Darch,others,Male,"D, Burrard, British Columbia, Canada",others,others,others,others
Amanda Gosselin,it,Male,"H, Gloucester, New Brunswick, Canada",it,it,it,it
Mary Ethel Simmons,it,Female,"E, York (east/est), Ontario, Canada",it,it,it,it
Emma Nadeau,sc,Female,"B, Toronto (east/est) (city/cité), Ontario, Canada",sc,sc,sc,sc
Alberta Bouchard,en,Female,"L, Saint-hyacinthe, Quebec, Canada",en,en,en,en
John Stewart,ir,Female,"C, Simcoe (east/est), Ontario, Canada",ir,ir,ir,ir
William J. A Mcphaile,sc,Male,"F, Maisonneuve, Quebec, Canada",sc,sc,sc,sc
Lottie Me Johnson,ch,Female,"P, York, New Brunswick, Canada",ch,ch,ch,ch
Maria Bilodeau,en,Female,"J, Victoria, New Brunswick, Canada",en,en,en,en
Mary L Atkey,ja,Female,"A, Brant (south/sud), Ontario, Canada",ja,ja,ja,ja
Dorila Bourasa,ir,Male,"J, Yale & Cariboo, British Columbia, Canada",ir,ir,ir,ir
Stanislas Beaudin,rus,Male,"F, Unorganized Territories/territoires Non-organisés, The Territories, Canada",rus,rus,rus,rus
Maria Lefebvrs,sc,Female,"G, Grey (north/nord), Ontario, Canada",sc,sc,sc,sc
Cedric E. Fleuelling,others,Female,"D, Victoria, British Columbia, Canada",others,others,others,others
Robertin Gerard,en,Female,"Y, Lunenburg, Nova Scotia, Canada",en,en,en,en
George Callen,rus,Female,"F, Grey (north/nord), Ontario, Canada",rus,rus,rus,rus
Theodule Beaudin,others,Female,"A, Wentworth & Brant (north/nord), Ontario, Canada",others,others,others,others
Frank Demings,it,Male,"H1, Lunenburg, Nova Scotia, Canada",it,it,it,it
Emmaline Panel,ja,Male,"H, Bellechasse, Quebec, Canada",ja,ja,ja,ja
Emly Mcconnell,others,Male,"J, Saint John (city/cité), New Brunswick, Canada",others,others,others,others
Euphemia A. Tolton,rus,Male,"H, Joliette, Quebec, Canada",rus,rus,rus,rus
James Braniff,it,Male,"B, Toronto (east/est) (city/cité), Ontario, Canada",it,it,it,it
Gertie May,it,Male,"K, Richelieu, Quebec, Canada",it,it,it,it
Maggie Kirk,rus,Female,"O, Laval, Quebec, Canada",rus,rus,rus,rus
Foster Jollymore,ir,Male,"A, Montmagny, Quebec, Canada",ir,ir,ir,ir
Silas B. Griffis,fr,Female,"D, Gaspé, Quebec, Canada",fr,fr,fr,fr
Maud M Moore,ja,Female,"G, Montcalm, Quebec, Canada",ja,ja,ja,ja
Michel Leduc,others,Female,"G, Victoria (south/sud), Ontario, Canada",others,others,others,others
Henry M Pratt,ab,Female,"B, Lunenburg, Nova Scotia, Canada",ab,inuit,inuit,inuit
Lloyd Craig,en,Male,"B, Hochelaga, Quebec, Canada",en,en,en,en
Emile Provost,ja,Male,"D, Victoria, British Columbia, Canada",ja,ja,ja,ja
Mary Irwin,en,Male,"Y, Pictou, Nova Scotia, Canada",en,en,en,en
Clodia Pelon,ch,Female,"B, Terrebonne, Quebec, Canada",ch,ch,ch,ch
Sarah Bear,en,Female,"D, Burrard, British Columbia, Canada",en,en,en,en
Geo W Kennedy,it,Female,"J, Bellechasse, Quebec, Canada",it,it,it,it
Annabella Glick,ab,Male,"E, Chambly & Verchères, Quebec, Canada",ab,inuit,inuit,inuit
Walter Trudel,ir,Male,"M, Welland, Ontario, Canada",ir,ir,ir,ir
Eurgelle Chartrand,en,Female,"G, Queen's (east/est), Prince Edward Island, Canada",en,en,en,en
William Troop,ja,Female,"G, Charlotte, New Brunswick, Canada",ja,ja,ja,ja
Armond Jefferies,fr,Male,"E, Richmond & Wolfe, Quebec, Canada",fr,fr,fr,fr
Peter O&#39;handley,rus,Male,"G, Prescott, Ontario, Canada",rus,rus,rus,rus
George Mcgill,sc,Male,"D, Bruce (east/est), Ontario, Canada",sc,sc,sc,sc
Alexina Deserches,rus,Male,"B, Vancouver, British Columbia, Canada",rus,rus,rus,rus
Nessie King,fr,Female,"J, Provencher, Manitoba, Canada",fr,fr,fr,fr
Marie L Lague,it,Female,"L, Wright, Quebec, Canada",it,it,it,it
Thomas Champagne,sc,Female,"C, Winnipeg (city/cité), Manitoba, Canada",sc,sc,sc,sc
Bella Rain,others,Male,"B, Bonaventure, Quebec, Canada",others,others,others,others
S Noah Bauman,sc,Female,"E, Argenteuil, Quebec, Canada",sc,sc,sc,sc
Sophia Mabe,en,Male,"D, Huron (south/sud), Ontario, Canada",en,en,en,en
John Russel,fr,Female,"D, Hamilton (city/cité), Ontario, Canada",fr,fr,fr,fr
Earl A D Smith,ab,Male,"E2, Assiniboia (east/est), The Territories, Canada",ab,metis,metis,metis
Letitia H Pollard,ja,Male,"L, Laprairie & Napierville, Quebec, Canada",ja,ja,ja,ja
Emer Carrier,ja,Male,"L, Victoria (north/nord), Ontario, Canada",ja,ja,ja,ja
Duncan Mctavish,rus,Male,"J, Yale & Cariboo, British Columbia, Canada",rus,rus,rus,rus
Racolie Payette,en,Female,"E, Renfrew (south/sud), Ontario, Canada",en,en,en,en
John T Mckenzie,it,Male,"C, Toronto (west/ouest) (city/cité), Ontario, Canada",it,it,it,it
Florence Whitaker,ir,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",ir,ir,ir,ir
Rochette Levesque,ch,Female,"A, Queen's (west/ouest), Prince Edward Island, Canada",ch,ch,ch,ch
Archie Oikle,ja,Male,"F, Saint-hyacinthe, Quebec, Canada",ja,ja,ja,ja
Roland Young,rus,Male,"E, Saint John (city/cité), New Brunswick, Canada",rus,rus,rus,rus
Alwina Labossière,ja,Female,"C, Lambton (west/ouest), Ontario, Canada",ja,ja,ja,ja
Mary Chance,ch,Male,"Q, Beauce, Quebec, Canada",ch,ch,ch,ch
Aglantine Bonus,it,Male,"W, Kings, Nova Scotia, Canada",it,it,it,it
Mérina René,sc,Male,"D, Middlesex (east/est), Ontario, Canada",sc,sc,sc,sc
Robert Brandow,ir,Female,"M, Northumberland, New Brunswick, Canada",ir,ir,ir,ir
Sarah Birnie,others,Female,"I, Québec (county/comté), Quebec, Canada",others,others,others,others
Marie Comtois,sc,Female,"J, Kent, New Brunswick, Canada",sc,sc,sc,sc
Mildred Drofe,rus,Male,"F, Lunenburg, Nova Scotia, Canada",rus,rus,rus,rus
Tom,ir,Male,"G, L'islet, Quebec, Canada",ir,ir,ir,ir
Marion Koczak,sc,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",sc,sc,sc,sc
Hormédas Bonneau,en,Female,"Book/Livre 1, Assiniboia (east/est), The Territories, Canada",en,en,en,en
Narcisse Girard,ir,Male,"B, Hochelaga, Quebec, Canada",ir,ir,ir,ir
Edwin Scarrow,ab,Female,"A, Brandon, Manitoba, Canada",ab,metis,metis,metis
Alice Lefebvre,rus,Female,"F(1), Chicoutimi & Saguenay, Quebec, Canada",rus,rus,rus,rus
Charles Richerdson,ja,Male,"D, Burrard, British Columbia, Canada",ja,ja,ja,ja
Richard Jardine,sc,Male,"J, Renfrew (north/nord), Ontario, Canada",sc,sc,sc,sc
Beatrice Mcpherson,sc,Male,"I, Wentworth (south/sud), Ontario, Canada",sc,sc,sc,sc
Sarah F Mckell,fr,Female,"D, Hochelaga, Quebec, Canada",fr,fr,fr,fr
Aldoria Lafleur,rus,Female,"J, Wellington (north/nord), Ontario, Canada",rus,rus,rus,rus
Murry Cowell,ch,Female,"J, Inverness, Nova Scotia, Canada",ch,ch,ch,ch
Robert Smith,ir,Female,"H, Bellechasse, Quebec, Canada",ir,ir,ir,ir
Bert Blackwell,ja,Male,"D, Bothwell, Ontario, Canada",ja,ja,ja,ja
Rosa Bessette,ja,Male,"G1, Richmond & Wolfe, Quebec, Canada",ja,ja,ja,ja
Eliza Dunham,ir,Male,"I, Stanstead, Quebec, Canada",ir,ir,ir,ir
Richd Wabange,ir,Male,"D, Shefford, Quebec, Canada",ir,ir,ir,ir
Cyrilda Emond,it,Female,"B, Glengarry, Ontario, Canada",it,it,it,it
W H Mcguire,fr,Male,"F, Maisonneuve, Quebec, Canada",fr,fr,fr,fr
William R Hawes,it,Male,"F, Glengarry, Ontario, Canada",it,it,it,it
Mary E Wooldrige,it,Male,"H, Wellington (north/nord), Ontario, Canada",it,it,it,it
Germaine Carriere,ir,Female,"T, Annapolis, Nova Scotia, Canada",ir,ir,ir,ir
Walters Beaulorier,ir,Female,"H, Trois-rivières & Saint-maurice, Quebec, Canada",ir,ir,ir,ir
John J Doucet,ja,Female,"F, Lincoln & Niagara, Ontario, Canada",ja,ja,ja,ja
Fredrick Mather,ir,Male,"A, Montréal (city/cité), Quebec, Canada",ir,ir,ir,ir
Aldeber Hirrien,fr,Female,"E, Huron (west/ouest), Ontario, Canada",fr,fr,fr,fr
John Chidtum,others,Male,"C, Dundas, Ontario, Canada",others,others,others,others
Pierre Fil Gilbert,others,Female,"Z, Pontiac, Quebec, Canada",others,others,others,others
Abraham Friesen,ch,Male,"D, Victoria, British Columbia, Canada",ch,ch,ch,ch
Ovide Labonté,ir,Male,,ir,ir,ir,ir
Martha Meyer,ab,Male,"L, Macdonald, Manitoba, Canada",ab,,,
Alfred Labbé,others,Male,"T, Chicoutimi & Saguenay, Quebec, Canada",others,others,others,others
Telesphore Bèdard,it,Male,"D, Grey (north/nord), Ontario, Canada",it,it,it,it
Roy Mckenzie,fr,Female,"I, York (west/ouest), Ontario, Canada",fr,fr,fr,fr
Mary Mcmurphy,rus,Female,"H, Vaudreuil, Quebec, Canada",rus,rus,rus,rus
Clémintine Gaudet,ab,Male,"E, Wellington (south/sud), Ontario, Canada",ab,inuit,inuit,inuit
Christina Todd,it,Male,"G, Wentworth (south/sud), Ontario, Canada",it,it,it,it
Sarah Humber,ir,Female,"E, York, New Brunswick, Canada",ir,ir,ir,ir
Luc Papineau,rus,Male,"A, Simcoe (south/sud), Ontario, Canada",rus,rus,rus,rus
Catherine Poupard,it,Male,"B, Toronto (east/est) (city/cité), Ontario, Canada",it,it,it,it
Hazel Canney,ja,Female,"D, Québec (city/cité) (east/est), Quebec, Canada",ja,ja,ja,ja
Josephine Darson,sc,Male,"D, Huron (east/est), Ontario, Canada",sc,sc,sc,sc
Mary Merriam,ab,Female,"H, Beauharnois, Quebec, Canada",ab,,,
Walter Jackson,ja,Female,"E, Carleton, Ontario, Canada",ja,ja,ja,ja
Germaine Duchesneau,rus,Female,"A, Richmond, Nova Scotia, Canada",rus,rus,rus,rus
Ruth Sanford,ir,Male,"C, Terrebonne, Quebec, Canada",ir,ir,ir,ir
Janet Mcdonald,rus,Male,"J, Bonaventure, Quebec, Canada",rus,rus,rus,rus
Catherine Cyr,ja,Female,"A, Glengarry, Ontario, Canada",ja,ja,ja,ja
Howard Miles,ir,Male,"E, Lambton (east/est), Ontario, Canada",ir,ir,ir,ir
William Shurbrinck,ab,Male,"A, Cardwell, Ontario, Canada",ab,fn,fn,fn
John F Boyd,fr,Male,"I, Russell, Ontario, Canada",fr,fr,fr,fr
Herbert Foreman,sc,Female,"F, Lanark (south/sud), Ontario, Canada",sc,sc,sc,sc
Lucienne Picard,rus,Male,"A, Montréal (city/cité), Quebec, Canada",rus,rus,rus,rus
Veronica Cusick,ir,Male,"B, Lambton (west/ouest), Ontario, Canada",ir,ir,ir,ir
Alphonse Poirier,ch,Male,"D, Québec (county/comté), Quebec, Canada",ch,ch,ch,ch
Edith Brough,sc,Female,"N, Nicolet, Quebec, Canada",sc,sc,sc,sc
Delinae Cadieux,sc,Male,"K, Macdonald, Manitoba, Canada",sc,sc,sc,sc
Elizebeth Cameron,it,Male,"Book/Livre 1, Alberta, The Territories, Canada",it,it,it,it
Howard Froch,sc,Male,"G, Huron (east/est), Ontario, Canada",sc,sc,sc,sc
Philoméne Thérien,ja,Male,"D, Hamilton (city/cité), Ontario, Canada",ja,ja,ja,ja
George Constable,it,Female,"A, Labelle, Quebec, Canada",it,it,it,it
Maud Steveson,ab,Female,"D, Victoria (south/sud), Ontario, Canada",ab,metis,metis,metis
Catherine J Francis,others,Male,"H, Yale & Cariboo, British Columbia, Canada",others,others,others,others
John Ferguson,sc,Male,"B, Québec (city/cité) (west/ouest), Quebec, Canada",sc,sc,sc,sc
William G Cunningham,ab,Female,"H, Ontario (north/nord), Ontario, Canada",ab,,,
John Heatherington,fr,Male,"I, Peterborough (east/est), Ontario, Canada",fr,fr,fr,fr
